fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 103805	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2213	1	1	1	0.1	50	0.5	FALSE	936659	0.0174499511841803	0.684703690957052	0.939599118098062	5.67651607018808	0.0186238511858869	13838	19764000	68
20221030 104451	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1326	1	1	1	0.1	50	0.5	FALSE	936659	0.03643193494001	0.717984913263803	0.858316457713783	5.63289155135148	0.018557280237604	13377	19966000	69
20221030 105508	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1032	1	1	1	0.1	50	0.5	FALSE	936659	0.017500282195661	0.59736112401892	0.66962774064774	7.08679668332657	0.019865536858882	12882	19596000	70
20221030 110028	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1199	1	1	1	0.1	50	0.5	FALSE	936659	0.0476468708100438	0.68875175284124	0.86171385855878	4.51440919479374	0.016673019175406	15575	17330000	71
20221030 112902	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4573	1	1	1	0.1	50	0.5	FALSE	936659	0.00727233825363662	0.604172489852656	0.687265136772131	5.23607483877824	0.0218838708795439	13159	20402000	72
20221030 113939	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1140	1	1	1	0.1	50	0.5	FALSE	936659	0.0327266617586134	0.590959012852568	0.701749619157009	6.03571641525324	0.0178478242226145	13694	18612000	73
20221030 120927	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	7584	1	1	1	0.1	50	0.5	FALSE	936659	0.00569740800260828	0.671443683171038	0.682539283891171	4.97159145416367	0.0195691794918342	14133	19254000	74
20221030 121803	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1265	1	1	1	0.1	50	0.5	FALSE	936659	0.0238663720131196	0.60851972406173	0.877500450264667	5.94938831126485	0.0184938547061997	14039	19122000	75
20221030 123000	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1236	1	1	1	0.1	50	0.5	FALSE	936659	0.0279236651419922	0.557580607101554	0.674608026099888	5.06574476921874	0.0203750390356887	13797	19046000	76
20221030 123343	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	293	1	1	1	0.1	50	0.5	FALSE	936659	0.225041054118712	0.588087356516209	0.540709527363777	4.8796797142853	0.0171448315697245	15153	17854000	77
20221030 124120	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1668	1	1	1	0.1	50	0.5	FALSE	936659	0.0396685007597988	0.828980563818196	0.711029506653753	5.26822192742825	0.0164903722183689	14838	17924000	78
20221030 124504	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	546	1	1	1	0.1	50	0.5	FALSE	936659	0.0764492060055816	0.736783830571016	0.942087716434395	5.97084109081182	0.0149864268164718	14975	17250000	79
20221030 130912	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4829	1	1	1	0.1	50	0.5	FALSE	936659	0.00624000417335459	0.622507752570917	0.92981000168822	5.22454173721172	0.0191942286857745	14385	19070000	80
20221030 131201	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	326	1	1	1	0.1	50	0.5	FALSE	936659	0.0500256091399941	0.670014946014411	0.842356966289312	5.8624911591858	0.0185057294272486	14574	17812000	81
20221030 133508	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4607	1	1	1	0.1	50	0.5	FALSE	936659	0.00522292672450711	0.773204317413295	0.859334046968959	5.79716292687433	0.0188792393123828	14021	19158000	82
20221030 135011	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2494	1	1	1	0.1	50	0.5	FALSE	936659	0.0126888677319575	0.606965043923742	0.672526183383465	5.09573478212015	0.0172821177400306	15482	17356000	83
20221030 135731	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	537	1	1	1	0.1	50	0.5	FALSE	936659	0.126361670587907	0.889859864147427	0.979788179109222	9.693259182201	1.86565043757922e-06	14356	16648000	84
20221030 142514	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6164	1	1	1	0.1	50	0.5	FALSE	936659	0.00657895505594555	0.609142155620595	0.914772998009226	3.60769367643818	0.0195783792797078	14690	17260000	85
20221030 142744	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	698	1	1	1	0.1	50	0.5	FALSE	936659	0.267961799139926	0.810337612145953	0.422658244863152	3.93809540043445	0.0170483129952384	15257	17006000	86
20221030 143028	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	135	1	1	1	0.1	50	0.5	FALSE	936659	0.233898495015679	0.341615343808942	0.591723477275227	8.51847201918042	0.00346912618081059	15389	14022000	87
20221030 143730	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1450	1	1	1	0.1	50	0.5	FALSE	936659	0.0187570551891625	0.842328432362387	0.98310312390154	4.97104152812064	0.0164386726115011	15817	16846000	88
